id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
17336364,2144215258059,Phía Sau Nghi Can X (Tái Bản 2019),81270,https://tiki.vn/product-p17336364.html?spid=17336365,129000,47730,37,3525,4.8
4780917,3342656016576,Người Đua Diều (Tái Bản 2018),104000,https://tiki.vn/product-p4780917.html?spid=4781791,129000,25000,19,2647,4.8
3954355,3044489264000,Yêu Những Điều Không Hoàn Hảo,83400,https://tiki.vn/product-p3954355.html?spid=3955615,139000,55600,40,3996,5.0
3304875,2929303348245,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),66150,https://tiki.vn/product-p3304875.html?spid=3304877,105000,38850,37,4774,5.0
276155988,4892292511882,Nexus - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo (Yuval Noah Harari),325000,https://tiki.vn/product-p276155988.html?spid=276390859,325000,0,0,0,0.0
275406600,8268219402991,Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,120900,https://tiki.vn/product-p275406600.html?spid=275406603,195000,74100,38,20,5.0
274649745,9459423049473,Luật Tâm Thức – Vũ Trụ Nhất Nguyên Luận,222000,https://tiki.vn/product-p274649745.html?spid=274650071,288000,66000,23,100,4.7
274031576,1669326196919,Series các tập ATTACK ON TITAN,40100,https://tiki.vn/product-p274031576.html?spid=275881882,44100,4000,9,29,5.0
270114030,1361592162849,Combo sách - Biến Mọi Thứ Thành Tiền - Quyển 1+2 - Nguyễn Anh Dũng - SBOOKS,150000,https://tiki.vn/product-p270114030.html?spid=270114031,336000,186000,55,62,4.8
262590428,7899223661173,Búp Sen Xanh,46702,https://tiki.vn/product-p262590428.html?spid=262590431,72000,25298,35,119,5.0
197558905,7320753092551,Komi - Nữ Thần Sợ Giao Tiếp - Tập 13,24300,https://tiki.vn/product-p197558905.html?spid=197558908,25000,700,3,98,4.8
197344455,5845381372171,Ikigami - The Ultimate Limit - Tuyển Tập Những Câu Chuyện Lay Động Lòng Người - Tập 9,43700,https://tiki.vn/product-p197344455.html?spid=197344457,45000,1300,3,84,5.0
196932307,3667856051673,Here U Are – Tập 3,119000,https://tiki.vn/product-p196932307.html?spid=196932312,119000,0,0,291,4.8
196016785,5621799962772,Ikigami - Tập 08,36100,https://tiki.vn/product-p196016785.html?spid=196016786,45000,8900,20,75,5.0
195801686,9751482435841,Black Jack - Tập 13 (Bìa Mềm),27900,https://tiki.vn/product-p195801686.html?spid=195801688,30000,2100,7,122,5.0
187338036,9526203196680,Chiến Tranh Tiền Tệ - Tập 4,121000,https://tiki.vn/product-p187338036.html?spid=187338037,185000,64000,35,250,5.0
184466860,6027901073690,Hành Tinh Của Một Kẻ Nghĩ Nhiều,55900,https://tiki.vn/product-p184466860.html?spid=184466861,86000,30100,35,1771,4.8
173748415,2475296572600,Tâm Lý Học Mối Quan Hệ,70100,https://tiki.vn/product-p173748415.html?spid=173748416,98000,27900,28,371,4.8
171556602,5544600760243,2030: Những Xu Hướng Lớn Sẽ Định Hình Thế Giới Tương Lai (Tái Bản Lần 1),153000,https://tiki.vn/product-p171556602.html?spid=171556603,209000,56000,27,237,5.0
170708233,2330392359694,Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),138000,https://tiki.vn/product-p170708233.html?spid=170708234,189000,51000,27,751,4.8
168373800,9326756704395,Sách - Thao túng tâm lý - 1980BOOKS,109850,https://tiki.vn/product-p168373800.html?spid=197748864,169000,59150,35,26,4.5
168293266,9705333957405,Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022),119000,https://tiki.vn/product-p168293266.html?spid=168293267,170000,51000,30,383,5.0
161310103,2607035585213,Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng,88000,https://tiki.vn/product-p161310103.html?spid=161310104,135000,47000,35,532,5.0
138107485,2064435455665,Mặt Dày Tâm Đen (Tái Bản),109600,https://tiki.vn/product-p138107485.html?spid=138107487,169000,59400,35,347,4.8
109017985,8741635599269,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",129000,https://tiki.vn/product-p109017985.html?spid=109017987,179000,50000,28,5467,4.8
106185389,2680151874471,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh,184000,https://tiki.vn/product-p106185389.html?spid=106185390,250000,66000,26,2534,4.8
104769768,1731013592789,Máy Tính CASIO FX580VN X,694800,https://tiki.vn/product-p104769768.html?spid=104769770,799700,104900,13,840,5.0
104612965,9600488509571,FLASHCARD SachID Moon,5000,https://tiki.vn/product-p104612965.html?spid=104612966,10000,5000,50,87,4.8
95289208,5862624720479,Người Bà Tài Giỏi Vùng Saga,80000,https://tiki.vn/product-p95289208.html?spid=95289212,128000,48000,38,456,5.0
92859698,5771808524305,Tâm Lý Học Biểu Cảm,58800,https://tiki.vn/product-p92859698.html?spid=92859699,98000,39200,40,1503,5.0
91947689,9240011208173,7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,152500,https://tiki.vn/product-p91947689.html?spid=91947690,250000,97500,39,964,5.0
90622579,7876290101854,Tâm Lý Học - Nghệ Thuật Giải Mã Hành Vi,105000,https://tiki.vn/product-p90622579.html?spid=90622655,150000,45000,30,1738,4.8
78598381,7418435709477,Tâm Lý Học Tính Cách (Tặng Kèm: 1 Bookmark),83900,https://tiki.vn/product-p78598381.html?spid=78598428,125000,41100,33,1376,5.0
